תקשורת אמביוולנטית חרדה,תקשורת בטוחה,תקשורת נמנעת
2.774193548387097,2.775,2.413793103448276
1.1462890100771512,1.1872722453655626,0.9070061182385528
31.0,40.0,29.0
2.7419354838709675,2.375,2.7241379310344827
1.1537689524765886,1.1251780485885958,1.1306304096178863
31.0,40.0,29.0
2.838709677419355,2.425,2.5172413793103448
1.0676071123014117,1.0833826418758743,1.1218826541377545
31.0,40.0,29.0
2.5483870967741935,2.675,2.2758620689655173
1.120675679442819,1.0951524890895215,1.1921334933680254
31.0,40.0,29.0
2.225806451612903,2.525,2.5172413793103448
1.1462890100771514,1.2605961145833204,1.2136335542250334
31.0,40.0,29.0
2.3870967741935485,2.5,2.2413793103448274
1.0855849223602518,1.1322770341445958,1.327058304613013
31.0,40.0,29.0
2.4516129032258065,2.425,2.6551724137931036
1.1206756794428188,1.129726538274662,1.1108510916334606
31.0,40.0,29.0
2.193548387096774,2.65,2.2413793103448274
0.9804541409880654,1.1220402662000855,1.1848801149059374
31.0,40.0,29.0
